title,topic,difficulty,description,starter_code,solution,hint
Button Success Message,Buttons,Easy,"Create a button labeled Submit. When the button is clicked, display Submitted Successfully! using a success message.",import streamlit as st,"import streamlit as st\n\nif st.button(""Submit""):\n st.success(""Submitted Successfully!"")",Check the return value of st.button().
Button Greeting,Buttons,Easy,"Create a text input labeled Enter your name and a button labeled Greet. When clicked, display Hello, !.",import streamlit as st,"import streamlit as st\n\nname = st.text_input(""Enter your name"")\n\nif st.button(""Greet""):\n st.write(f""Hello, {name}!"")",Combine st.text_input() and st.button().
Show Selected Language,Buttons,Medium,"Create a dropdown with Python, SQL and Java and a button labeled Show Selection. When clicked, display the selected language.",import streamlit as st,"import streamlit as st\n\nlanguage = st.selectbox(""Choose a language"", [""Python"", ""SQL"", ""Java""])\n\nif st.button(""Show Selection""):\n st.write(language)",Store the dropdown value first.
Calculate Square,Buttons,Medium,"Create a number input and a button labeled Calculate Square. When clicked, display the square of the entered number.",import streamlit as st,"import streamlit as st\n\nnum = st.number_input(""Enter a number"")\n\nif st.button(""Calculate Square""):\n st.write(num ** 2)",Use the exponent operator **.
Show Checkbox Status,Buttons,Medium,"Create a checkbox labeled Accept Terms and a button labeled Check Status. When clicked, display whether the checkbox is checked.",import streamlit as st,"import streamlit as st\n\naccepted = st.checkbox(""Accept Terms"")\n\nif st.button(""Check Status""):\n st.write(accepted)",Save the checkbox value in a variable.
BMI Calculator,Buttons,Medium,"Create two number inputs for Weight (kg) and Height (m) and a button labeled Calculate BMI. When clicked, display the BMI rounded to two decimal places.",import streamlit as st,"import streamlit as st\n\nweight = st.number_input(""Weight (kg)"")\nheight = st.number_input(""Height (m)"")\n\nif st.button(""Calculate BMI""):\n if height > 0:\n st.write(round(weight / (height ** 2), 2))",BMI = weight / height².
Password Checker,Buttons,Medium,"Create a password input and a button labeled Validate. If the password has at least 8 characters, display a success message; otherwise display an error message.",import streamlit as st,"import streamlit as st\n\npassword = st.text_input(""Password"", type=""password"")\n\nif st.button(""Validate""):\n if len(password) >= 8:\n st.success(""Strong password"")\n else:\n st.error(""Password too short"")","Use type=""password"" in st.text_input()."
Simple Login Screen,Buttons,Hard,"Create text inputs for username and password and a Login button. If the username is admin and the password is streamlit, display Login Successful; otherwise display Invalid Credentials.",import streamlit as st,"import streamlit as st\n\nusername = st.text_input(""Username"")\npassword = st.text_input(""Password"", type=""password"")\n\nif st.button(""Login""):\n if username == ""admin"" and password == ""streamlit"":\n st.success(""Login Successful"")\n else:\n st.error(""Invalid Credentials"")",Compare both username and password inside the button block.
Mini Registration Form,Buttons,Hard,"Create text inputs for Name and Email and a Register button. When clicked, display a success message showing the entered name and email.",import streamlit as st,"import streamlit as st\n\nname = st.text_input(""Name"")\nemail = st.text_input(""Email"")\n\nif st.button(""Register""):\n st.success(f""Registered {name} ({email})"")",Use an f-string inside st.success().
Initialize Session State,Session State,Easy,Initialize a session state variable named count with a value of 0 if it doesn't already exist.,import streamlit as st,"import streamlit as st\n\nif ""count"" not in st.session_state:\n st.session_state.count = 0",Check if the key exists before creating it.
Display Counter,Session State,Easy,Initialize a session state variable named count and display its current value on the page.,import streamlit as st,"import streamlit as st\n\nif ""count"" not in st.session_state:\n st.session_state.count = 0\n\nst.write(st.session_state.count)",Use st.session_state.count.
Increment Counter,Session State,Easy,Create a button labeled Increment. Every click should increase the counter by 1 and display the updated value.,import streamlit as st,"import streamlit as st\n\nif ""count"" not in st.session_state:\n st.session_state.count = 0\n\nif st.button(""Increment""):\n st.session_state.count += 1\n\nst.write(st.session_state.count)",Modify the session state inside the button block.
Decrement Counter,Session State,Easy,Create a button labeled Decrement. Every click should decrease the counter by 1.,import streamlit as st,"import streamlit as st\n\nif ""count"" not in st.session_state:\n st.session_state.count = 0\n\nif st.button(""Decrement""):\n st.session_state.count -= 1\n\nst.write(st.session_state.count)",Subtract 1 instead of adding 1.
Reset Counter,Session State,Medium,Create Increment and Reset buttons. Increment increases the counter. Reset sets it back to 0.,import streamlit as st,"import streamlit as st\n\nif ""count"" not in st.session_state:\n st.session_state.count = 0\n\nif st.button(""Increment""):\n st.session_state.count += 1\n\nif st.button(""Reset""):\n st.session_state.count = 0\n\nst.write(st.session_state.count)",Use two different buttons.
Persistent Name,Session State,Medium,Create a text input for a user's name and store it in session state so it persists between reruns. Display the stored name below the input.,import streamlit as st,"import streamlit as st\n\nif ""name"" not in st.session_state:\n st.session_state.name = """"\n\nst.session_state.name = st.text_input(""Name"", value=st.session_state.name)\n\nst.write(st.session_state.name)",Use the text input's value to update session state.
Toggle Message,Session State,Medium,Create a button labeled Toggle. Every click should alternate between displaying ON and OFF.,import streamlit as st,"import streamlit as st\n\nif ""on"" not in st.session_state:\n st.session_state.on = False\n\nif st.button(""Toggle""):\n st.session_state.on = not st.session_state.on\n\nst.write(""ON"" if st.session_state.on else ""OFF"")",Flip a boolean value.
Visit Counter,Session State,Medium,"Every time the app reruns, increase a session state variable named visits by 1 and display the total number of visits.",import streamlit as st,"import streamlit as st\n\nif ""visits"" not in st.session_state:\n st.session_state.visits = 0\n\nst.session_state.visits += 1\n\nst.write(f""Visits: {st.session_state.visits}"")",Increment outside of any button.
Shopping Cart Counter,Session State,Hard,Create an Add to Cart button. Each click should increase the number of items in the cart and display the total.,import streamlit as st,"import streamlit as st\n\nif ""cart"" not in st.session_state:\n st.session_state.cart = 0\n\nif st.button(""Add to Cart""):\n st.session_state.cart += 1\n\nst.write(f""Items in cart: {st.session_state.cart}"")",This is just a counter with a different purpose.
Simple Score Tracker,Session State,Hard,Create Correct Answer and Wrong Answer buttons. Correct Answer,sldokgjalskdg,asdgasdg,asdgasdg
Create Two Columns,Layout,Easy,Create two equal-width columns. Display Column 1 in the first column and Column 2 in the second column.,import streamlit as st,"import streamlit as st\n\ncol1, col2 = st.columns(2)\n\nwith col1:\n st.write(""Column 1"")\n\nwith col2:\n st.write(""Column 2"")",Use st.columns(2).
Three Columns,Layout,Easy,"Create three equal-width columns displaying A, B, and C respectively.",import streamlit as st,"import streamlit as st\n\ncol1, col2, col3 = st.columns(3)\n\nwith col1:\n st.write(""A"")\n\nwith col2:\n st.write(""B"")\n\nwith col3:\n st.write(""C"")",Create three column objects.
Sidebar Title,Sidebar,Easy,Add the title Dashboard Menu to the sidebar.,import streamlit as st,"import streamlit as st\n\nst.sidebar.title(""Dashboard Menu"")",Use st.sidebar.
Sidebar Selectbox,Sidebar,Easy,"Create a sidebar dropdown labeled Choose a Page with the options Home, Reports and Settings.",import streamlit as st,"import streamlit as st\n\nst.sidebar.selectbox(""Choose a Page"", [""Home"", ""Reports"", ""Settings""])",Widgets can be placed inside the sidebar.
Use a Container,Layout,Medium,Create a container and display a title Sales Dashboard followed by the text Welcome! inside it.,import streamlit as st,"import streamlit as st\n\nwith st.container():\n st.title(""Sales Dashboard"")\n st.write(""Welcome!"")",Use with st.container():.
Create an Expander,Layout,Medium,"Create an expander titled Show Details. Inside it, display These are additional details.",import streamlit as st,"import streamlit as st\n\nwith st.expander(""Show Details""):\n st.write(""These are additional details."")",Use st.expander().
Create Tabs,Layout,Medium,Create two tabs named Profile and Settings. Display the tab name inside each tab.,import streamlit as st,"import streamlit as st\n\ntab1, tab2 = st.tabs([""Profile"", ""Settings""])\n\nwith tab1:\n st.write(""Profile"")\n\nwith tab2:\n st.write(""Settings"")",Use st.tabs().
Add a Divider,Layout,Medium,"Display the text Before Divider, add a divider, then display After Divider.",import streamlit as st,"import streamlit as st\n\nst.write(""Before Divider"")\nst.divider()\nst.write(""After Divider"")",Use st.divider().
Update Placeholder,Layout,Hard,Create an empty placeholder. Display Loading... in it and then replace it with Completed!.,import streamlit as st\nimport time,"import streamlit as st\nimport time\n\nplaceholder = st.empty()\n\nplaceholder.write(""Loading..."")\ntime.sleep(2)\nplaceholder.write(""Completed!"")",st.empty() returns a placeholder that can be updated.
Dashboard Layout,Layout,Hard,"Create a sidebar titled Navigation. In the main page, display two columns. The left column should contain the title Sales and the right column should contain the title Profit.",import streamlit as st,"import streamlit as st\n\nst.sidebar.title(""Navigation"")\n\ncol1, col2 = st.columns(2)\n\nwith col1:\n st.title(""Sales"")\n\nwith col2:\n st.title(""Profit"")",Combine the sidebar and columns in the same app.
Display a DataFrame,Data Display,Easy,"Create a DataFrame with one column named Name containing Alice, Bob and Charlie. Display it using Streamlit.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"": [""Alice"", ""Bob"", ""Charlie""]})\n\nst.dataframe(df)",Use pd.DataFrame() and st.dataframe().
Display a Table,Data Display,Easy,Create a DataFrame containing Name and Age columns and display it as a static table.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"":[""Alice"",""Bob""],""Age"":[24,30]})\n\nst.table(df)",Use st.table().
Show DataFrame Shape,Data Display,Easy,Create a DataFrame with three rows and two columns. Display the DataFrame and then display its shape.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""A"":[1,2,3],""B"":[4,5,6]})\n\nst.dataframe(df)\nst.write(df.shape)",Every DataFrame has a .shape attribute.
Display Selected Column,Data Display,Easy,Create a DataFrame with Name and Age columns. Display only the Name column.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"":[""Alice"",""Bob""],""Age"":[24,30]})\n\nst.dataframe(df[[""Name""]])",Select only one column before displaying it.
Filter Rows,Data Display,Medium,Create a DataFrame with Name and Age columns. Display only the rows where Age is greater than 25.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"":[""Alice"",""Bob"",""Charlie""],""Age"":[24,30,28]})\n\nst.dataframe(df[df[""Age""] > 25])",Use boolean indexing.
Sort a DataFrame,Data Display,Medium,Create a DataFrame containing Name and Score columns. Display it sorted by Score in descending order.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"":[""Alice"",""Bob"",""Charlie""],""Score"":[85,95,90]})\n\nst.dataframe(df.sort_values(""Score"", ascending=False))",Use sort_values().
Display Summary Statistics,Data Display,Medium,Create a DataFrame containing a Score column. Display the summary statistics for the DataFrame.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Score"":[80,90,85,95]})\n\nst.dataframe(df.describe())",Use describe().
Display Data Based on User Selection,Data Display,Medium,Create a DataFrame with Name and Department columns. Create a dropdown that lets the user select a department and display only the matching rows.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"":[""Alice"",""Bob"",""Charlie""],""Department"":[""HR"",""IT"",""HR""]})\n\ndepartment = st.selectbox(""Department"", df[""Department""].unique())\n\nst.dataframe(df[df[""Department""] == department])",Use the selected value to filter the DataFrame.
Display Top 5 Rows,Data Display,Hard,Create a DataFrame with at least 10 rows and display only the first five rows.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Number"": range(1,11)})\n\nst.dataframe(df.head())",Use .head().
Download a CSV,Data Display,Hard,Create a DataFrame containing Name and Score columns. Display it and add a button that lets the user download it as a CSV file.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Name"":[""Alice"",""Bob""],""Score"":[90,85]})\n\nst.dataframe(df)\n\ncsv = df.to_csv(index=False)\n\nst.download_button(""Download CSV"", csv, ""scores.csv"", ""text/csv"")",Convert the DataFrame to CSV using to_csv(index=False).
Upload a File,File Uploads,Easy,Create a file uploader that accepts any file type.,import streamlit as st,"import streamlit as st\n\nst.file_uploader(""Choose a file"")",Use st.file_uploader().
Upload a CSV File,File Uploads,Easy,Create a file uploader that only accepts CSV files.,import streamlit as st,"import streamlit as st\n\nst.file_uploader(""Upload CSV"", type=""csv"")",Use the type parameter.
Display Uploaded File Name,File Uploads,Easy,"Create a file uploader. After the user uploads a file, display its name.",import streamlit as st,"import streamlit as st\n\nuploaded_file = st.file_uploader(""Upload a file"")\n\nif uploaded_file is not None:\n st.write(uploaded_file.name)",The uploaded file object has a .name attribute.
Read and Display a CSV,File Uploads,Medium,"Create a CSV uploader. After a file is uploaded, read it using pandas and display it as a DataFrame.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nuploaded_file = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif uploaded_file is not None:\n df = pd.read_csv(uploaded_file)\n st.dataframe(df)",Pass the uploaded file directly to pd.read_csv().
Display CSV Shape,File Uploads,Medium,Upload a CSV file and display the number of rows and columns in the uploaded DataFrame.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nuploaded_file = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif uploaded_file is not None:\n df = pd.read_csv(uploaded_file)\n st.write(df.shape)",Use the DataFrame's .shape attribute.
Display First Five Rows,File Uploads,Medium,Upload a CSV file and display only the first five rows.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nuploaded_file = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif uploaded_file is not None:\n df = pd.read_csv(uploaded_file)\n st.dataframe(df.head())",Use .head().
Upload Multiple Files,File Uploads,Medium,Create a file uploader that allows users to upload multiple CSV files. Display the name of each uploaded file.,import streamlit as st,"import streamlit as st\n\nfiles = st.file_uploader(""Upload CSV files"", type=""csv"", accept_multiple_files=True)\n\nfor file in files:\n st.write(file.name)",Set accept_multiple_files=True.
Upload and Preview an Image,File Uploads,Medium,"Create an image uploader. After the user uploads an image, display it in the app.",import streamlit as st,"import streamlit as st\n\nimage = st.file_uploader(""Upload an image"", type=[""png"",""jpg"",""jpeg""])\n\nif image is not None:\n st.image(image)",Use st.image().
Upload an Excel File,File Uploads,Hard,"Create an Excel file uploader. After upload, read the file using pandas and display the DataFrame.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nuploaded_file = st.file_uploader(""Upload Excel"", type=[""xlsx""])\n\nif uploaded_file is not None:\n df = pd.read_excel(uploaded_file)\n st.dataframe(df)",Use pd.read_excel().
CSV Summary App,File Uploads,Hard,"Create a CSV uploader. After upload, display the DataFrame, its shape, column names, and summary statistics.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nuploaded_file = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif uploaded_file is not None:\n df = pd.read_csv(uploaded_file)\n st.dataframe(df)\n st.write(df.shape)\n st.write(df.columns.tolist())\n st.dataframe(df.describe())",Use df.columns.tolist() and df.describe().
Line Chart,Charts,Easy,"Create a DataFrame with a column named Sales containing the values 10, 20, 15, 25 and 30. Display it as a line chart.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Sales"":[10,20,15,25,30]})\n\nst.line_chart(df)",Use st.line_chart().
Bar Chart,Charts,Easy,Create a DataFrame with Product and Sales columns. Display the Sales values as a bar chart.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Product"":[""A"",""B"",""C""],""Sales"":[100,150,120]})\n\nst.bar_chart(df.set_index(""Product""))",Set the Product column as the index.
Area Chart,Charts,Easy,Create a DataFrame containing monthly revenue and display it as an area chart.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Revenue"":[200,250,220,300,280]})\n\nst.area_chart(df)",Use st.area_chart().
Plotly Line Chart,Charts,Medium,Create a Plotly line chart showing monthly sales and display it in Streamlit.,import streamlit as st\nimport pandas as pd\nimport plotly.express as px,"import streamlit as st\nimport pandas as pd\nimport plotly.express as px\n\ndf = pd.DataFrame({""Month"":[""Jan"",""Feb"",""Mar"",""Apr""],""Sales"":[120,150,180,170]})\n\nfig = px.line(df, x=""Month"", y=""Sales"")\n\nst.plotly_chart(fig)",Use px.line().
Plotly Bar Chart,Charts,Medium,Create a Plotly bar chart showing sales for three products and display it.,import streamlit as st\nimport pandas as pd\nimport plotly.express as px,"import streamlit as st\nimport pandas as pd\nimport plotly.express as px\n\ndf = pd.DataFrame({""Product"":[""A"",""B"",""C""],""Sales"":[100,150,120]})\n\nfig = px.bar(df, x=""Product"", y=""Sales"")\n\nst.plotly_chart(fig)",Use px.bar().
Plotly Scatter Plot,Charts,Medium,Create a scatter plot comparing Hours Studied and Exam Score using Plotly.,import streamlit as st\nimport pandas as pd\nimport plotly.express as px,"import streamlit as st\nimport pandas as pd\nimport plotly.express as px\n\ndf = pd.DataFrame({""Hours"":[1,2,3,4,5],""Score"":[50,60,75,85,95]})\n\nfig = px.scatter(df, x=""Hours"", y=""Score"")\n\nst.plotly_chart(fig)",Use px.scatter().
Plotly Pie Chart,Charts,Medium,Create a pie chart showing sales by category using Plotly.,import streamlit as st\nimport pandas as pd\nimport plotly.express as px,"import streamlit as st\nimport pandas as pd\nimport plotly.express as px\n\ndf = pd.DataFrame({""Category"":[""Electronics"",""Furniture"",""Clothing""],""Sales"":[400,300,200]})\n\nfig = px.pie(df, names=""Category"", values=""Sales"")\n\nst.plotly_chart(fig)",Use px.pie().
Interactive Chart Filter,Charts,Hard,Create a DataFrame containing Product and Sales. Add a selectbox that lets the user choose a product and display only the selected product as a bar chart.,import streamlit as st\nimport pandas as pd\nimport plotly.express as px,"import streamlit as st\nimport pandas as pd\nimport plotly.express as px\n\ndf = pd.DataFrame({""Product"":[""A"",""B"",""C""],""Sales"":[100,150,120]})\n\nproduct = st.selectbox(""Select Product"", df[""Product""])\n\nfiltered = df[df[""Product""] == product]\n\nfig = px.bar(filtered, x=""Product"", y=""Sales"")\n\nst.plotly_chart(fig)",Filter the DataFrame before creating the chart.
Upload CSV and Plot,Charts,Hard,Allow the user to upload a CSV file. Let the user select one numeric column and display it as a line chart.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nfile = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif file:\n df = pd.read_csv(file)\n column = st.selectbox(""Select Column"", df.select_dtypes(""number"").columns)\n st.line_chart(df[column])","Use select_dtypes(""number"") to get numeric columns."
Sales Dashboard,Charts,Hard,Create a dashboard with two columns. Display a line chart in the left column and a bar chart in the right column using the same sales data.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({""Sales"":[120,140,160,180,170]})\n\ncol1, col2 = st.columns(2)\n\nwith col1:\n st.line_chart(df)\n\nwith col2:\n st.bar_chart(df)",Combine st.columns() with Streamlit charts.
Create a Form,Forms,Easy,Create a form named user_form containing a text input labeled Name and a submit button labeled Submit.,import streamlit as st,"import streamlit as st\n\nwith st.form(""user_form""):\n st.text_input(""Name"")\n st.form_submit_button(""Submit"")",Use with st.form().
Display Submitted Name,Forms,Easy,"Create a form with a text input labeled Name. After the form is submitted, display Hello, !.",import streamlit as st,"import streamlit as st\n\nwith st.form(""user_form""):\n name = st.text_input(""Name"")\n submitted = st.form_submit_button(""Submit"")\n\nif submitted:\n st.write(f""Hello, {name}!"")",Store the return value of st.form_submit_button().
Registration Form,Forms,Easy,"Create a form containing Name and Email fields. After submission, display a success message saying Registration Successful!.",import streamlit as st,"import streamlit as st\n\nwith st.form(""register""):\n name = st.text_input(""Name"")\n email = st.text_input(""Email"")\n submitted = st.form_submit_button(""Register"")\n\nif submitted:\n st.success(""Registration Successful!"")",Forms can contain multiple widgets.
Feedback Form,Forms,Medium,Create a form with a text area labeled Feedback and a submit button. Display the submitted feedback after submission.,import streamlit as st,"import streamlit as st\n\nwith st.form(""feedback_form""):\n feedback = st.text_area(""Feedback"")\n submitted = st.form_submit_button(""Submit"")\n\nif submitted:\n st.write(feedback)",Use st.text_area().
Login Form,Forms,Medium,"Create a form with Username and Password fields. If the username is admin and the password is streamlit, display Login Successful, otherwise display Invalid Credentials.",import streamlit as st,"import streamlit as st\n\nwith st.form(""login""):\n username = st.text_input(""Username"")\n password = st.text_input(""Password"", type=""password"")\n submitted = st.form_submit_button(""Login"")\n\nif submitted:\n if username == ""admin"" and password == ""streamlit"":\n st.success(""Login Successful"")\n else:\n st.error(""Invalid Credentials"")","Use type=""password"" for the password field."
Student Registration Form,Forms,Medium,"Create a form containing Name, Age and Department fields. After submission, display all entered information.",import streamlit as st,"import streamlit as st\n\nwith st.form(""student_form""):\n name = st.text_input(""Name"")\n age = st.number_input(""Age"", min_value=1)\n department = st.selectbox(""Department"", [""IT"",""HR"",""Finance""])\n submitted = st.form_submit_button(""Register"")\n\nif submitted:\n st.write(name)\n st.write(age)\n st.write(department)",Combine different input widgets inside a form.
Survey Form,Forms,Medium,Create a form containing a slider labeled Rate our service (1–5). Display the selected rating after submission.,import streamlit as st,"import streamlit as st\n\nwith st.form(""survey""):\n rating = st.slider(""Rate our service"", 1, 5)\n submitted = st.form_submit_button(""Submit"")\n\nif submitted:\n st.write(rating)",Use st.slider() inside a form.
Search Form,Forms,Hard,"Create a form containing a text input labeled Search. After submission, display Searching for: .",import streamlit as st,"import streamlit as st\n\nwith st.form(""search""):\n query = st.text_input(""Search"")\n submitted = st.form_submit_button(""Search"")\n\nif submitted:\n st.write(f""Searching for: {query}"")",Use an f-string after submission.
Product Order Form,Forms,Hard,"Create a form containing Product (selectbox), Quantity (number input) and Address (text area). After submission, display an order confirmation showing all entered values.",import streamlit as st,"import streamlit as st\n\nwith st.form(""order""):\n product = st.selectbox(""Product"", [""Laptop"",""Phone"",""Tablet""])\n quantity = st.number_input(""Quantity"", min_value=1)\n address = st.text_area(""Address"")\n submitted = st.form_submit_button(""Place Order"")\n\nif submitted:\n st.success(f""Ordered {quantity} {product}(s)\\nAddress: {address}"")",A form can contain any Streamlit input widget.
Employee Information Form,Forms,Hard,"Create a form containing Name, Department, Salary and Joining Date. After submission, display all entered information in a structured format.",import streamlit as st,"import streamlit as st\n\nwith st.form(""employee""):\n name = st.text_input(""Name"")\n department = st.selectbox(""Department"", [""HR"",""IT"",""Finance""])\n salary = st.number_input(""Salary"", min_value=0)\n joining_date = st.date_input(""Joining Date"")\n submitted = st.form_submit_button(""Save"")\n\nif submitted:\n st.write(f""Name: {name}"")\n st.write(f""Department: {department}"")\n st.write(f""Salary: {salary}"")\n st.write(f""Joining Date: {joining_date}"")",Use multiple widget types inside the same form.
Create a Cached Function,Caching,Easy,"Create a function named load_data() decorated with @st.cache_data. The function should return the string ""Data Loaded"". Display its return value.",import streamlit as st,"import streamlit as st\n\n@st.cache_data\ndef load_data():\n return ""Data Loaded""\n\nst.write(load_data())",Place @st.cache_data immediately above the function.
Cache a List,Caching,Easy,"Create a cached function that returns the list [1, 2, 3, 4, 5]. Display the returned list.",import streamlit as st,"import streamlit as st\n\n@st.cache_data\ndef get_numbers():\n return [1,2,3,4,5]\n\nst.write(get_numbers())",Cached functions can return lists.
Cache a DataFrame,Caching,Easy,Create a cached function that returns a DataFrame containing Name and Age columns. Display the DataFrame.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\n@st.cache_data\ndef load_data():\n return pd.DataFrame({\""Name\"":[\""Alice\"",\""Bob\""],\""Age\"":[24,30]})\n\nst.dataframe(load_data())",Cached functions can return DataFrames.
Cache CSV Loading,Caching,Medium,Create a cached function named load_csv() that accepts an uploaded CSV file and returns a DataFrame. Display the uploaded DataFrame.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\n@st.cache_data\ndef load_csv(file):\n return pd.read_csv(file)\n\nuploaded_file = st.file_uploader(\""Upload CSV\"", type=\""csv\"")\n\nif uploaded_file:\n st.dataframe(load_csv(uploaded_file))",Decorate the function that reads the CSV.
Cache a Calculation,Caching,Medium,Create a cached function that accepts a number and returns its square. Display the square of a user-entered number.,import streamlit as st,"import streamlit as st\n\n@st.cache_data\ndef square(x):\n return x ** 2\n\nnum = st.number_input(\""Number\"")\nst.write(square(num))",Cached functions can accept parameters.
