title,topic,difficulty,description,starter_code,solution,hint
List Country Currencies,REST Countries API,Medium,Retrieve information about Japan and print all currency codes used by the country.,import requests; # Your code here,"import requests; response=requests.get(""https://restcountries.com/v3.1/name/japan""); print(list(response.json()[0][""currencies""].keys()))",The currencies field is a dictionary.
Get Current Weather,Open-Meteo API,Medium,"Retrieve the current weather for Delhi (latitude 28.61, longitude 77.20) using the Open-Meteo API and print the current temperature.",import requests; # Your code here,"import requests; params={""latitude"":28.61,""longitude"":77.20,""current_weather"":True}; response=requests.get(""https://api.open-meteo.com/v1/forecast"",params=params); print(response.json()[""current_weather""][""temperature""])",Use query parameters for latitude and longitude.
Random Dog Image,Public APIs,Medium,Retrieve a random dog image from https://dog.ceo/api/breeds/image/random and print the image URL.,import requests; # Your code here,"import requests; response=requests.get(""https://dog.ceo/api/breeds/image/random""); print(response.json()[""message""])",Most image APIs return the image URL inside the JSON response.
Get User Profile,GitHub API,Easy,Retrieve the GitHub profile for the user torvalds and print the user's name.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/users/torvalds""); print(response.json()[""name""])",GitHub user profiles are available at /users/{username}.
Count Public Repositories,GitHub API,Easy,Retrieve the profile for microsoft and print the number of public repositories.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/users/microsoft""); print(response.json()[""public_repos""])",Look for the public_repos field.
List Repository Names,GitHub API,Easy,Retrieve the first page of repositories for the user psf and print each repository name.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/users/psf/repos""); [print(repo[""name""]) for repo in response.json()]",The endpoint returns a list of repositories.
Get Repository Information,GitHub API,Medium,Retrieve information about the repository python/cpython and print its default branch.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython""); print(response.json()[""default_branch""])",Repository details are under /repos/{owner}/{repo}.
Print Stargazer Count,GitHub API,Medium,Retrieve the repository pallets/flask and print the number of stars.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/pallets/flask""); print(response.json()[""stargazers_count""])",Stars are stored in stargazers_count.
Search Python Repositories,GitHub Search API,Medium,Search GitHub repositories with the keyword python and print the name of the first repository returned.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/search/repositories"",params={""q"":""python""}); print(response.json()[""items""][0][""full_name""])",Search results are inside the items list.
List Contributors,GitHub API,Medium,Retrieve the contributors for python/cpython and print the login of the first contributor.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython/contributors""); print(response.json()[0][""login""])",Contributors are returned as a list.
List Repository Languages,GitHub API,Medium,Retrieve the programming languages used in pallets/flask and print the language names.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/pallets/flask/languages""); print(list(response.json().keys()))",The languages endpoint returns a dictionary.
List Recent Commits,GitHub API,Medium,Retrieve the latest commits for python/cpython and print the SHA of the first commit.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython/commits""); print(response.json()[0][""sha""])",Commits are returned as a list of dictionaries.
Paginate Repository Results,GitHub API,Hard,Retrieve only five repositories for the user psf by using query parameters. Print the number of repositories returned.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/users/psf/repos"",params={""per_page"":5}); print(len(response.json()))",GitHub pagination uses the per_page parameter.
List Open Issues,GitHub API,Medium,Retrieve the open issues for microsoft/vscode and print the title of the first issue.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/microsoft/vscode/issues""); print(response.json()[0][""title""])",Issues are returned as a list of dictionaries.
Count Open Pull Requests,GitHub API,Medium,Retrieve the pull requests for python/cpython and print the number returned on the first page.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython/pulls""); print(len(response.json()))",Pull requests have their own endpoint.
Get Latest Release,GitHub API,Medium,Retrieve the latest release of cli/cli and print its tag name.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/cli/cli/releases/latest""); print(response.json()[""tag_name""])",Use the /releases/latest endpoint.
List Repository Branches,GitHub API,Medium,Retrieve all branches of python/cpython and print the first branch name.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython/branches""); print(response.json()[0][""name""])",Each branch object contains a name field.
List Repository Tags,GitHub API,Medium,Retrieve the tags for python/cpython and print the first tag name.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython/tags""); print(response.json()[0][""name""])",Tags are returned as a list.
Read Repository Topics,GitHub API,Hard,Retrieve the repository topics for pallets/flask and print the list of topic names.,import requests; # Your code here,"import requests; headers={""Accept"":""application/vnd.github+json""}; response=requests.get(""https://api.github.com/repos/pallets/flask/topics"",headers=headers); print(response.json()[""names""])",Some GitHub endpoints require a custom Accept header.
Check API Rate Limit,GitHub API,Medium,Request the GitHub rate limit endpoint and print the number of remaining requests.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/rate_limit""); print(response.json()[""rate""][""remaining""])",Look inside the rate object.
Authenticate with Personal Access Token,Authentication,Hard,"Read the environment variable GITHUB_TOKEN, send it as a Bearer token, retrieve your GitHub profile (/user), and print your login.","import requests, os; # Your code here","import requests, os; headers={""Authorization"":f""Bearer {os.getenv('GITHUB_TOKEN')}""}; response=requests.get(""https://api.github.com/user"",headers=headers); print(response.json()[""login""])",Never hardcode personal access tokens.
Use Conditional Requests,GitHub API,Hard,"Request the repository python/cpython, extract the ETag response header, then repeat the request using the If-None-Match header and print the second response status code.",import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython""); etag=response.headers.get(""ETag""); response2=requests.get(""https://api.github.com/repos/python/cpython"",headers={""If-None-Match"":etag}); print(response2.status_code)",Conditional requests help reduce API usage.
Build a GitHub Client,OOP,Hard,"Create a GitHubClient class that stores a Session object and implements a method get_repo(owner, repo) returning the repository JSON. Demonstrate it using python/cpython.",import requests; class GitHubClient: pass,"import requests; class GitHubClient:\n def __init__(self): self.session=requests.Session()\n def get_repo(self,owner,repo): return self.session.get(f""https://api.github.com/repos/{owner}/{repo}"").json(); client=GitHubClient(); print(client.get_repo(""python"",""cpython"")[""full_name""])",Encapsulate repeated request logic inside a class.
Paginate Through Results,Pagination,Medium,Retrieve the first two pages of repositories for the user psf (5 repositories per page) and print the total number of repositories collected.,import requests; # Your code here,"import requests; repos=[]; [repos.extend(requests.get(""https://api.github.com/users/psf/repos"",params={""page"":p,""per_page"":5}).json()) for p in (1,2)]; print(len(repos))",Use both page and per_page.
Loop Until No Results,Pagination,Hard,Continuously request repositories for psf until an empty page is returned. Print the total number of repositories retrieved.,import requests; # Your code here,"import requests; repos=[]; page=1; while True: data=requests.get(""https://api.github.com/users/psf/repos"",params={""page"":page,""per_page"":100}).json(); if not data: break; repos.extend(data); page+=1; print(len(repos))",Stop when the API returns an empty list.
Handle Rate Limit (429),Error Handling,Hard,"Write code that checks if a response has status code 429. If so, print Rate limit exceeded; otherwise print the status code.",import requests; # Your code here,"import requests; response=requests.get(""https://httpbin.org/status/429""); print(""Rate limit exceeded"" if response.status_code==429 else response.status_code)",Always inspect status_code.
Retry with Exponential Backoff,Retry Logic,Hard,"Retry a failing request up to 3 times using delays of 1, 2, and 4 seconds before giving up.","import requests,time; # Your code here","import requests,time; delay=1; response=None; for _ in range(3): response=requests.get(""https://httpbin.org/status/500""); if response.ok: break; time.sleep(delay); delay*=2; print(response.status_code)",Double the delay after each failed attempt.
Fetch Multiple URLs,Batch Requests,Medium,"Given a list of JSONPlaceholder post URLs, retrieve each one and print the title.",import requests; urls=[],"import requests; urls=[""https://jsonplaceholder.typicode.com/posts/1"",""https://jsonplaceholder.typicode.com/posts/2""]; [print(requests.get(url).json()[""title""]) for url in urls]",Iterate over a list of URLs.
Parallel API Requests,Concurrency,Hard,Use ThreadPoolExecutor to fetch three JSONPlaceholder posts concurrently and print their titles.,import requests; # Your code here,"import requests; from concurrent.futures import ThreadPoolExecutor; urls=[f""https://jsonplaceholder.typicode.com/posts/{i}"" for i in range(1,4)]; fetch=lambda u: requests.get(u).json()[""title""]; with ThreadPoolExecutor() as ex: [print(t) for t in ex.map(fetch,urls)]",Use ThreadPoolExecutor.map().
Parse Nested JSON,JSON Parsing,Medium,Retrieve https://api.github.com/repos/python/cpython and print the owner's login.,import requests; # Your code here,"import requests; response=requests.get(""https://api.github.com/repos/python/cpython""); print(response.json()[""owner""][""login""])",Access nested dictionaries using chained keys.
Cache API Responses,Best Practices,Hard,Create a dictionary cache so repeated requests to the same URL do not trigger another HTTP request.,import requests; cache={},"import requests; cache={}; def get_json(url):\n if url not in cache: cache[url]=requests.get(url).json();\n return cache[url]; print(get_json(""https://jsonplaceholder.typicode.com/posts/1"")[""id""])",Store responses using the URL as the key.
Generic REST Client,OOP,Hard,"Build a RestClient class with get(), post(), put(), and delete() methods using a shared Session object.",import requests; class RestClient: pass,"import requests; class RestClient:\n def __init__(self): self.session=requests.Session()\n def get(self,url,**k): return self.session.get(url,**k)\n def post(self,url,**k): return self.session.post(url,**k)\n def put(self,url,**k): return self.session.put(url,**k)\n def delete(self,url,**k): return self.session.delete(url,**k)",Centralize common HTTP operations in one class.
Build a Reusable API Module,Project Structure,Hard,Create a reusable API module that stores the base URL in the constructor and automatically prefixes all endpoints. Demonstrate it using JSONPlaceholder.,import requests; class APIClient: pass,"import requests; class APIClient:\n def __init__(self,base_url): self.base_url=base_url; self.session=requests.Session()\n def get(self,endpoint): return self.session.get(self.base_url+endpoint).json(); client=APIClient(""https://jsonplaceholder.typicode.com""); print(client.get(""/posts/1"")[""title""])",Store the base URL once and reuse it for every request.
Read Zoho Credentials from Streamlit,Streamlit,Easy,"Read the Zoho Client ID, Client Secret and Refresh Token from three Streamlit text inputs and print the Client ID.",import streamlit as st,"import streamlit as st; cid=st.text_input(""Client ID""); secret=st.text_input(""Client Secret"",type=""password""); refresh=st.text_input(""Refresh Token"",type=""password""); st.write(cid)",Never hardcode credentials.
Generate OAuth Access Token,OAuth2,Medium,Exchange a refresh token for an access token using Zoho Accounts OAuth. Print the access token.,import requests,"import requests; payload={""refresh_token"":REFRESH_TOKEN,""client_id"":CLIENT_ID,""client_secret"":CLIENT_SECRET,""grant_type"":""refresh_token""}; r=requests.post(TOKEN_URL,data=payload); print(r.json()[""access_token""])","Zoho OAuth uses form data, not JSON."
Build Authorization Header,Authentication,Easy,"Given an access token, build the Authorization header for future API requests.","token=""...""","headers={""Authorization"":f""Zoho-oauthtoken {token}""}",Most Zoho APIs expect this exact format.
Validate Access Token,OAuth2,Medium,Request a simple Zoho endpoint using an access token and print the status code.,import requests,"import requests; r=requests.get(URL,headers=headers); print(r.status_code)",A 401 usually indicates an expired or invalid token.
Refresh Token Automatically,OAuth2,Hard,"Write a function that checks if a request returned 401. If so, generate a new access token and retry the request once.",import requests,def request(url): ...,This pattern appears in many production integrations.
Create a Reusable Zoho Session,Sessions,Medium,Create a Session object that stores the Authorization header once and reuse it for future requests.,import requests,session=requests.Session(); session.headers.update(headers),Sessions avoid repeatedly passing headers.
Parse Zoho JSON Response,JSON Parsing,Medium,"Given a Zoho API response containing nested dictionaries, extract a specified field and print it.",import requests,"data=requests.get(URL,headers=headers).json(); print(data[""data""][0][""name""])",Many Zoho APIs nest records inside a data array.
Handle Zoho API Errors,Error Handling,Medium,"If the response contains an error key, print the error message; otherwise print Success.",import requests,"data=response.json(); print(data[""error""][""message""] if ""error"" in data else ""Success"")",Don't rely only on the status code.
Build a ZohoClient Class,OOP,Hard,"Create a ZohoClient class that stores credentials, refreshes tokens, and exposes a generic get() method.",class ZohoClient: pass,class ZohoClient: ...,Centralize token management in one place.
List Workspaces (Mock),Zoho Analytics,Hard,"Using your ZohoClient, retrieve the list of Zoho Analytics workspaces and print each workspace name.",client=ZohoClient(...),"response=client.get(""/workspaces""); ...",This prepares you for real Zoho Analytics automation.
Exchange Refresh Token,OAuth,Easy,Use a Zoho refresh token to obtain a new access token and print it.,import requests,"import requests; data={""grant_type"":""refresh_token"",""client_id"":CLIENT_ID,""client_secret"":CLIENT_SECRET,""refresh_token"":REFRESH_TOKEN}; r=requests.post(TOKEN_URL,data=data); print(r.json()[""access_token""])","Zoho expects form data, not JSON."
Build Analytics Headers,Authentication,Easy,Build the headers required for Zoho Analytics API calls using an access token and Organization ID.,"token=""""","headers={""Authorization"":f""Zoho-oauthtoken {token}"",""ZANALYTICS-ORGID"":ORG_ID}",Nearly every Analytics request uses these headers.
Create a Session,requests.Session,Medium,Create a requests.Session object that automatically sends the Zoho authorization headers.,import requests,import requests; s=requests.Session(); s.headers.update(headers),Sessions prevent repeating headers.
Generate Date Batches,Datetime,Medium,"Given a start date, end date, and batch size in days, generate a list of (start,end) date ranges.","from datetime import datetime,timedelta","from datetime import datetime,timedelta; ranges=[]; start=datetime.strptime(""2026-01-01"",""%Y-%m-%d""); end=datetime.strptime(""2026-01-31"",""%Y-%m-%d""); step=6;",This mirrors your deletion script.
Delete Records by Criteria,Zoho Analytics,Medium,Build the payload required to delete rows between two dates using a criteria string.,"criteria=""""","criteria='(""Date"">=""2026-01-01"" AND ""Date""<=""2026-01-06"")'; payload={""CONFIG"":json.dumps({""criteria"":criteria})}",Zoho deletion relies on criteria expressions.
Refresh Token Automatically,OAuth,Hard,Write a helper function that automatically refreshes the access token when the API returns HTTP 401.,def api_get(...):,def api_get(url): ...,Production integrations should never require manually updating tokens.
Import CSV to Zoho Analytics,Zoho Import API,Hard,Upload an in-memory CSV (StringIO) to a Zoho Analytics table using multipart form-data.,from io import StringIO,"csv_buffer=StringIO(); ...; requests.post(IMPORT_URL,headers=headers,files={""FILE"":(""data.csv"",csv_buffer.getvalue())},data={""CONFIG"":json.dumps(config)})",Your BeautyFort notebook follows this pattern.
Build Import Configuration,JSON,Medium,"Create the CONFIG JSON specifying importType, autoIdentify, onError, and dateFormat.",config={},"config={""importType"":""append"",""autoIdentify"":True,""onError"":""abort"",""dateFormat"":""yyyy-MM-dd""}",Zoho import behaviour is driven by CONFIG.
Parse Import Response,JSON Parsing,Medium,Parse the JSON response from a successful import and print the number of imported rows.,response.json(),"data=response.json(); print(data[""response""][""result""].get(""rowsImported""))",Learn to safely navigate nested dictionaries.
Build a ZohoAnalyticsClient,OOP,Hard,"Implement a ZohoAnalyticsClient class that stores credentials, refreshes tokens, and exposes get(), post(), delete(), and import_csv() methods.",class ZohoAnalyticsClient:,class ZohoAnalyticsClient: ...,This becomes the foundation for every later exercise.
Build Analytics Import URL,Zoho Analytics,Easy,"Construct the Zoho Analytics Import API URL given the data center, workspace name, and table name.","dc=""com""","dc=""com""; url=f""https://analyticsapi.zoho.{dc}/restapi/v2/workspaces/{WORKSPACE}/views/{TABLE}/data""",Use f-strings to build reusable URLs.
Create CONFIG JSON,Zoho Import API,Easy,"Build a CONFIG dictionary with importType=""append"", autoIdentify=True, onError=""abort"" and convert it to JSON.",import json,"import json; config=json.dumps({""importType"":""append"",""autoIdentify"":True,""onError"":""abort""})",Zoho expects CONFIG as a JSON string.
